stationcode,cluster
1001,2
1002,2
1006,0
1007,2
1008,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,2
1018,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1102,0
1116,2
1117,2
1119,2
1120,2
1201,2
2001,2
2002,0
2003,0
2004,2
2005,2
2006,2
2008,2
2009,0
2010,2
2012,0
2013,2
2014,2
2015,2
2016,0
2017,0
2020,2
2021,2
2022,2
2101,2
2102,2
2108,2
2110,0
2111,2
2201,0
2202,0
3001,0
3002,2
3003,2
3004,2
3005,2
3006,0
3007,2
3008,2
3009,2
3010,2
3011,2
3012,2
3101,0
3102,0
3201,2
4001,2
4002,2
4003,1
4006,3
4007,2
4009,0
4010,2
4011,0
4012,3
4013,3
4014,0
4015,2
4016,0
4017,2
4018,0
4019,2
4020,2
4021,0
4101,0
4103,2
4104,0
4107,2
4108,3
4109,3
4110,0
4201,2
5001,0
5003,0
5004,0
5005,0
5007,0
5012,0
5014,0
5015,0
5016,0
5018,3
5019,2
5020,1
5021,2
5022,0
5024,0
5026,3
5027,3
5028,3
5030,0
5031,0
5032,0
5033,2
5034,0
5105,3
5107,2
5110,0
5115,3
5116,3
5119,2
5121,0
5122,2
5123,2
5124,2
5201,2
5202,0
5203,0
6001,2
6002,2
6003,2
6004,0
6005,0
6006,0
6007,0
6008,0
6009,0
6010,0
6012,2
6013,3
6014,3
6015,3
6016,2
6017,0
6018,0
6020,2
6021,0
6022,2
6025,2
6026,0
6027,0
6028,2
6029,0
6030,2
6031,2
6032,3
6103,0
6104,0
6107,2
6108,3
6201,2
7002,3
7003,2
7004,2
7005,2
7006,2
7007,2
7008,2
7009,2
7010,2
7012,2
7013,2
7014,2
7015,2
7016,0
7017,0
7018,2
7020,1
7021,2
7023,1
7024,1
7025,1
7026,2
7101,0
7102,2
7109,2
7111,1
7201,2
7202,0
7203,2
8001,2
8002,2
8003,2
8004,2
8007,0
8008,0
8009,0
8010,0
8011,0
8012,0
8013,0
8015,2
8016,2
8017,0
8018,2
8019,0
8020,0
8025,2
8026,2
8027,0
8029,2
8031,2
8033,2
8034,2
8035,2
8036,2
8037,0
8038,2
8039,2
8040,2
8044,0
8045,2
8046,2
8048,2
8049,2
8050,2
8051,0
8052,2
8053,2
8054,0
8055,0
8056,0
8057,0
8102,2
8103,2
8105,2
8110,0
8116,0
8117,2
8201,0
8202,0
8203,2
8549,2
9001,0
9002,0
9004,0
9005,0
9006,0
9007,0
9008,0
9009,0
9010,0
9011,0
9012,2
9013,2
9014,2
9015,0
9016,0
9017,0
9019,0
9020,0
9021,0
9022,2
9023,2
9024,2
9025,0
9026,0
9027,0
9028,0
9029,2
9031,2
9032,2
9034,2
9035,0
9036,0
9037,0
9038,0
9039,2
9101,0
9102,2
9106,2
9111,2
9113,0
9114,0
9115,0
9116,2
9117,0
9118,0
10003,0
10004,0
10005,2
10006,0
10008,0
10009,0
10010,0
10011,0
10012,0
10013,0
10014,0
10015,0
10016,0
10017,3
10018,0
10019,0
10020,3
10021,0
10023,0
10025,3
10026,0
10027,0
10029,0
10031,0
10032,0
10033,0
10034,0
10036,0
10039,0
10041,0
10042,0
10105,0
10107,0
10110,0
10113,0
10114,0
10115,0
10152,0
10161,0
10162,0
10163,0
10164,0
10165,0
10166,2
10201,0
10202,0
10203,0
10204,0
10206,0
10207,0
10208,0
11001,2
11002,3
11003,0
11004,1
11006,3
11007,3
11009,0
11010,0
11011,3
11012,0
11014,0
11016,0
11017,0
11018,0
11019,0
11020,3
11021,0
11022,3
11023,0
11024,3
11025,3
11026,0
11027,0
11028,0
11029,0
11030,3
11031,3
11032,3
11033,0
11034,0
11035,0
11036,0
11037,0
11038,0
11039,0
11040,0
11041,3
11042,0
11043,0
11044,0
11046,2
11047,3
11048,1
11101,3
11102,0
11103,0
11104,0
11105,0
11107,3
11109,0
11110,0
11111,3
11112,3
11113,0
11114,3
11115,3
11201,0
12001,2
12002,2
12005,1
12007,2
12008,3
12009,3
12010,3
12011,1
12013,3
12015,0
12016,0
12017,0
12018,0
12019,3
12020,0
12022,3
12024,3
12026,1
12027,3
12028,0
12031,1
12032,3
12033,1
12034,2
12035,3
12036,0
12037,0
12038,0
12039,3
12040,0
12041,0
12043,3
12101,1
12102,1
12105,2
12106,1
12107,0
12108,2
12109,3
12111,0
12113,1
12114,3
12115,0
12119,3
12120,0
